Date,High,Low,Open,Close,Volume,QuoteVolume,WeightedAverage
Thu Mar 21 2019 04:20:00 GMT+0530 (IST),0.034455,0.034455,0.034455,0.034455,0,0,0.034455
Thu Mar 21 2019 04:25:00 GMT+0530 (IST),0.03445999,0.03443501,0.03445999,0.03444,0.01396879,0.40564381,0.03443611
Thu Mar 21 2019 04:30:00 GMT+0530 (IST),0.03446855,0.03446855,0.03446855,0.03446855,0.00034468,0.01,0.03446855
Thu Mar 21 2019 04:35:00 GMT+0530 (IST),0.03447487,0.03447193,0.03447193,0.03447487,0.00944785,0.27405101,0.03447482
Thu Mar 21 2019 04:40:00 GMT+0530 (IST),0.03447455,0.03447193,0.03447455,0.03447193,0.07691073,2.23096582,0.03447418
Thu Mar 21 2019 04:45:00 GMT+0530 (IST),0.03443086,0.03443086,0.03443086,0.03443086,0.00000305,0.00008887,0.03443086
Thu Mar 21 2019 04:50:00 GMT+0530 (IST),0.03443086,0.0344,0.03443086,0.03441001,0.90711827,26.36970846,0.03440001
Thu Mar 21 2019 04:55:00 GMT+0530 (IST),0.0343967,0.03439,0.0343967,0.03439,0.01324952,0.38527057,0.03439017
Thu Mar 21 2019 05:00:00 GMT+0530 (IST),0.034415,0.03441496,0.03441496,0.034415,0.09432471,2.74080318,0.03441498
Thu Mar 21 2019 05:05:00 GMT+0530 (IST),0.03441997,0.03437,0.0344,0.03437,0.16916313,4.92169163,0.03437093
Thu Mar 21 2019 05:10:00 GMT+0530 (IST),0.034425,0.034375,0.034375,0.034385,0.00389083,0.11315492,0.034385
Thu Mar 21 2019 05:15:00 GMT+0530 (IST),0.03439502,0.03438902,0.03439502,0.03438902,0.16122238,4.68802121,0.03439028
Thu Mar 21 2019 05:20:00 GMT+0530 (IST),0.03438902,0.03433315,0.03438902,0.03433315,0.25283636,7.3523623,0.03438845
Thu Mar 21 2019 05:25:00 GMT+0530 (IST),0.03436237,0.03436237,0.03436237,0.03436237,0.09148562,2.66237822,0.03436237
